CIK Symbol
883241 SNPS
96021 SYY
1283699 TMUS
1113169 TROW
946581 TTWO
1116132 TPR
27419 TGT
1385157 TEL
1094285 TDY
96943 TFX
97210 TER
1318605 TSLA
97476 TXN
217346 TXT
97745 TMO
109198 TJX
916365 TSCO
1466258 TT
1260221 TDG
86312 TRV
864749 TRMB
92230 TFC
1418091 TWTR
860731 TYL
100493 TSN
74208 UDR
1403568 ULTA
36104 USB
1336917 UAA
1336917 UA
100885 UNP
100517 UAL
731766 UNH
1090727 UPS
1067701 URI
352915 UHS
5513 UNM
1035002 VLO
203527 VAR
740260 VTR
1014473 VRSN
1442145 VRSK
732712 VZ
875320 VRTX
103379 VFC
813828 VIAC
1792044 VTRS
1403161 V
1786842 VNT
899689 VNO
1396009 VMC
11544 WRB
943452 WAB
104169 WMT
1618921 WBA
1744489 DIS
823768 WM
1000697 WAT
783325 WEC
72971 WFC
766704 WELL
105770 WST
106040 WDC
1365135 WU
1732845 WRK
106535 WY
106640 WHR
107263 WMB
1140536 WLTW
1174922 WYNN
72903 XEL
1770450 XRX
743988 XLNX
1524472 XYL
1041061 YUM
877212 ZBRA
1136869 ZBH
109380 ZION
1555280 ZTS
